Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-01-03,322.4623718261719,325.59307446526094,317.67480384527,323.0403535774783,28865100
2022-01-04,316.93304443359375,322.89583055126775,314.1491135080895,322.5393874417457,32674300
2022-01-05,304.7666015625,314.1009117831904,304.381290295682,313.8985991152846,40054300
2022-01-06,302.35845947265625,307.0015395240339,300.0561747269668,301.65524488813156,39646100
2022-01-07,302.5126037597656,304.88229679267107,298.7075838733872,302.61855190067536,32720000
2022-01-10,302.734130859375,303.1676245403952,293.505795319919,298.1295907297212,44289500
2022-01-11,303.4180908203125,304.9882339809429,298.5149321522782,301.8768158812795,29386800
2022-01-12,306.58721923828125,311.53855883141136,305.44089834095706,307.93585280974463,34372200
2022-01-13,293.6117248535156,309.1014943499301,292.84110213316677,308.7065406516053,45366000
2022-01-14,298.8135070800781,299.41074404993253,292.6002553313774,293.0819018422109,39846400
2022-01-18,291.54071044921875,298.4282516430957,290.6641100212884,292.90859986576606,42333200
2022-01-19,292.1956787109375,302.3873360187906,291.58882876082123,295.0470474103309,45933900
2022-01-20,290.52923583984375,300.21032076889657,290.0861291978272,297.725037240553,35380700
2022-01-21,285.1636047363281,292.9469986716374,284.7590087711074,291.5791391743098,57984400
2022-01-24,285.4911193847656,286.2039467418737,265.917000099836,281.47420435136246,85731500
2022-01-25,277.9004211425781,284.1618263856482,274.70231034504417,280.81919810306823,72848600
2022-01-26,285.8186340332031,297.17586579012413,282.2737231433276,296.6845769938161,90428900
2022-01-27,288.8338317871094,296.0199908832467,286.9939382332395,291.55032568742257,53481300
2022-01-28,296.9447937011719,297.15671939709773,283.6417159546675,289.2095498959442,49743700
2022-01-31,299.56494140625,300.91354605848886,295.1241442973268,297.60945731115953,46444500
2022-02-01,297.4263610839844,299.2277143206684,293.929602731659,299.0157886812132,40950400
2022-02-02,301.9538269042969,303.55289687211734,297.5419577332225,298.26442751039235,36636000
2022-02-03,290.1920471191406,299.8057228648471,288.9493907856898,298.12957287633566,43730000
2022-02-04,294.7098388671875,297.46484251298546,288.9589789477584,289.1901598418486,35096500
2022-02-07,289.9030456542969,296.54011926462067,288.8915703465275,294.93143638637616,28533300
2022-02-08,293.380615234375,294.3439085676629,288.9398470786599,290.1921166529824,32421200
2022-02-09,299.7864074707031,300.47997960930934,296.10665053831843,298.49559837334124,31284700
2022-02-10,291.28057861328125,297.77316484125447,289.66225322547234,292.8796487217257,45386200
2022-02-11,284.21002197265625,293.12048369685596,283.4201145266006,292.06085534207085,39175600
2022-02-14,284.1714172363281,285.86682221750584,280.6554038855894,282.98655633734126,36359500
2022-02-15,289.44061279296875,289.7584865084877,286.11724059844187,288.99750629948704,27058300
2022-02-16,289.1028137207031,290.42524925713894,283.484848801482,288.0120371225755,29982100
2022-02-17,280.6371765136719,286.49643110778806,279.93250821564493,286.07170356625755,32461600
2022-02-18,277.9344482421875,283.65858009488875,276.3706915634675,282.87670175552876,34264000
2022-02-22,277.7318115234375,281.41920742809083,274.6235925315727,275.10623504920284,41736100
2022-02-23,270.54034423828125,281.5735712358109,270.3762623285836,280.106319573653,37811200
2022-02-24,284.3632507324219,284.913470148122,262.0941229321313,263.04977493259855,56989700
2022-02-25,286.9888610839844,287.2977593325136,281.52534482802724,284.8942092758671,32546700
2022-02-28,288.4174499511719,288.7553055184813,282.82844278237695,284.09296349755033,34627500
2022-03-01,284.7108154296875,289.55653540384833,282.0079998222269,286.1104609698699,31217800
2022-03-02,289.7688903808594,291.0044539337732,283.50420050610404,285.10654759375143,31873000
2022-03-03,285.6470947265625,292.6067899776218,283.8419873820218,292.37513104919077,27314500
2022-03-04,279.7974853515625,285.3961558141852,277.20089590151974,284.07372012763096,32356500
2022-03-07,269.22760009765625,279.6333695655803,268.8607871426468,278.5136356085561,43157200
2022-03-08,266.2738952636719,274.10234312414246,260.6269716528933,268.1561834951562,48159500
2022-03-09,278.4847412109375,279.54656067391153,271.0327393319232,273.6004011394195,35204500
2022-03-10,275.67572021484375,276.65066742284495,270.83963327856327,273.1949308694663,30628000
2022-03-11,270.3472900390625,279.4595798639488,269.7294936979138,277.9633709204393,27209300
2022-03-14,266.84332275390625,275.49226599874805,266.244850912999,270.6079274452205,30660700
2022-03-15,277.1816101074219,277.8283640849266,269.05392607565614,270.6176832217213,34245100
2022-03-16,284.1702880859375,284.34403232991673,273.3687457127895,279.07355459724573,37826300
2022-03-17,284.971435546875,285.3478813742308,279.3245124712581,283.1084425886128,30816600
2022-03-18,290.0005187988281,290.5507382302181,282.5678431701578,285.1161798417101,43390600
2022-03-21,288.7746276855469,289.7206174710808,284.662504677972,288.5140113733799,28351200
2022-03-22,293.5044860839844,294.41185612837654,288.3981213802289,289.3923635193199,27599700
2022-03-23,289.09320068359375,292.70338668332965,287.3846568062616,290.07781025541306,25715400
2022-03-24,293.5431823730469,293.6397167673037,287.9638360996713,288.75537689115174,24484500
2022-03-25,293.1377258300781,294.8945515047454,288.9001402281707,294.6339351738191,22566500
2022-03-28,299.9140319824219,300.0105369064653,293.7651423882981,293.7651423882981,29578200
2022-03-29,304.46051025390625,304.8562805932184,298.3212830440557,303.01258292097964,30393400
2022-03-30,302.96429443359375,304.9817657302456,300.76344611358445,302.86778951334975,28163600
2022-03-31,297.60699462890625,304.19990720218783,297.20159145457893,303.0029338565664,33422100
2022-04-01,298.6784973144531,299.36384141537167,294.93318680550044,298.630215389613,27110500
2022-04-04,304.03582763671875,304.17095222292346,298.95841894296694,299.3252319683475,24289600
2022-04-05,300.0877380371094,303.9392148944746,299.11279097971965,302.3947533501223,23156700
2022-04-06,289.1028137207031,296.3424501243935,286.4096607302466,294.59528689562205,40110400
2022-04-07,290.9079284667969,293.10877703347046,286.06220849283096,286.3614444787001,31411200
2022-04-08,286.6606750488281,290.6666017314044,285.99462607140345,290.01021503016705,24361900
2022-04-11,275.357177734375,282.4519981244576,275.1061942358303,281.66048690117145,34569300
2022-04-12,272.26824951171875,280.6469151575573,270.75274518786716,279.1989878449197,30966700
2022-04-13,277.6352233886719,278.5618885948695,271.5346160767129,272.914995798149,21907200
2022-04-14,270.1156921386719,278.30131965119733,269.62341681375074,278.08895577007974,28221600
2022-04-18,270.7817077636719,272.65436281401867,268.67739376545774,269.2276132247998,20778000
2022-04-19,275.39581298828125,276.2356357266572,268.74501431186735,269.6813419887161,22297700
2022-04-20,276.41900634765625,279.64308426283594,275.46338359699905,279.35348107967593,22906700
2022-04-21,271.0616760253906,283.11807613900845,270.33771228198214,278.56192980216474,29454600
2022-04-22,264.5169982910156,273.3686730601937,263.8895690490661,271.901421279217,29405800
2022-04-25,270.9748229980469,271.3512688528921,261.3702248757031,263.8027620781208,35678900
2022-04-26,260.83935546875,268.69676130335756,260.62699155656253,267.86663021091147,46518400
2022-04-27,273.38800048828125,280.86895873505813,269.4689460085579,272.30688607431046,63477700
2022-04-28,279.5754699707031,280.87861047579827,271.68907938541145,275.2896026631033,33646600
2022-04-29,267.8858947753906,279.81683323611406,266.9013146355611,278.59090237715037,37073900
